tag_id;name;category;count
9079;kikuchi_makoto;4;4243
615222;hoshizora_rin;4;4221
1421198;bb_(fate);4;4202
1631098;kasumi_(kancolle);4;4202
1631042;iowa_(kancolle);4;4196
460796;ex-keine;4;4122
1532747;byleth_(fire_emblem)_(female);4;4110
1328656;hecatia_lapislazuli;4;4100
1769318;jeanne_d'arc_(ruler)_(fate);4;4087
1442946;texas_(arknights);4;4083
1440040;atago_(azur_lane);4;4071
472979;saber_alter;4;4066
422691;oshino_shinobu;4;4060
425446;ganaha_hibiki;4;4060
1492223;taihou_(azur_lane);4;4049
1631502;yuubari_(kancolle);4;4039
1631121;kiso_(kancolle);4;4032
1526564;doctor_(arknights);4;4023
660315;shimamura_uzuki;4;4003
1610604;tartaglia_(genshin_impact);4;4003
52967;princess_peach;4;3999
1531312;uruha_rushia;4;3998
466315;ash_ketchum;4;3989
1316173;watanabe_you;4;3972
1442306;zero_two_(darling_in_the_franxx);4;3955
1525565;hoshimachi_suisei;4;3955
405454;aerith_gainsborough;4;3938
15550;morrigan_aensland;4;3935
1516925;makima_(chainsaw_man);4;3935
9750;asahina_mikuru;4;3932
445830;red_(pokemon);4;3928
1622755;asuna_(blue_archive);4;3923
1533307;shirogane_noel;4;3913
1526509;skadi_(arknights);4;3894
1536480;formidable_(azur_lane);4;3879
665139;shirasaka_koume;4;3864
1630996;hiryuu_(kancolle);4;3855
1440089;prinz_eugen_(azur_lane);4;3855
1569865;karyl_(princess_connect!);4;3855
665166;takagaki_kaede;4;3850
1629450;meltryllis_(fate);4;3848
1341413;djeeta_(granblue_fantasy);4;3814
1233049;sagisawa_fumika;4;3784
1630687;graf_zeppelin_(kancolle);4;3779
646093;ultimate_madoka;4;3776
1561709;bremerton_(azur_lane);4;3770
1645004;rice_shower_(umamusume);4;3745
701140;komaeda_nagito;4;3741
1233712;wakasagihime;4;3724
1518950;inugami_korone;4;3716
1564340;paimon_(genshin_impact);4;3714
1515171;sakura_miko;4;3713
11498;kirby;4;3683
1328609;kishin_sagume;4;3650
1641843;eula_(genshin_impact);4;3650
1649150;medusa_(rider)_(fate);4;3649
592976;koizumi_hanayo;4;3644
1549065;tokoyami_towa;4;3617
1646765;mejiro_mcqueen_(umamusume);4;3612
1511455;yumemi_riamu;4;3603
9075;takatsuki_yayoi;4;3591
1627707;miyamoto_musashi_(fate);4;3590
9681;kyon;4;3589
1312747;hestia_(danmachi);4;3577
1631228;naka_(kancolle);4;3575
496900;black_rock_shooter_(character);4;3567
1493247;bowsette;4;3536
1514981;selene_(pokemon);4;3530
1440003;belfast_(azur_lane);4;3530
1509133;sirius_(azur_lane);4;3507
663994;kanzaki_ranko;4;3498
1549061;amane_kanata;4;3497
1500247;oozora_subaru;4;3471
1627592;ishtar_(fate);4;3469
593780;super_sonico;4;3466
1646762;daiwa_scarlet_(umamusume);4;3462
413714;kisume;4;3456
